epoch,g_loss,d_loss
1,4.657659144172126,1.384050685071719
2,4.905802638637904,1.3636835002188277
3,4.80000873545855,1.3434089641687372
4,4.6975197474305395,1.3274430386336684
5,4.788758964874633,1.3160908028857015
6,5.000845751214141,1.2999779628204766
7,5.023888832025073,1.2868947386068443
8,5.057565789473684,1.2699680229274903
9,4.99929145725096,1.2550786985402078
10,4.963183571690761,1.2460880145979218
11,5.159727859583239,1.2390559704653263
12,5.160870969335893,1.2310037968361758
13,5.097591395838039,1.2280556898718094
14,5.133722223006551,1.2286684955246217
15,5.227366779845267,1.2284152554636323
16,5.22911563629433,1.2199995455796815
17,5.134246350519539,1.2252045332618027
18,5.102402956996838,1.2179020428619833
19,5.219032799440931,1.2211352654873504
20,5.154229373729388,1.2138644300951547
21,5.221218870002259,1.208172705309747
22,5.13233954992094,1.2048737461528687
